Código INE:,Localidad:,Fecha:,Festividad:
44123000000,Hinojosa de Jarque,25 de agosto,
44124000000,Hoz de la Vieja (La),29 de abril,
44124000000,Hoz de la Vieja (La),16 de agosto,
44125000000,Huesa del Común,22 de mayo,Santa Quiteria
44125000000,Huesa del Común,29 de septie,San Miguel
44127000000,Jabaloyas,10 de julio,
44127000000,Jabaloyas,14 de agosto,
44128000000,Jarque de la Val,3 de febrero,
44128000000,Jarque de la Val,16 de agosto,
44130000000,Jorcas,28 de abril,
44130000000,Jorcas,16 de agosto,
44131000000,Josa,15 de mayo,San Isidro
44131000000,Josa,13 de diciembre,Santa Lucía
44137000000,Linares de Mora,8 de mayo,
44137000000,Linares de Mora,26 de julio,
44138000000,Loscos,17 de abril,Venerable Anadón
44138000000,Loscos,16 de agosto,San Roque
44142000000,Maicas,17 de enero,San Antón
44142000000,Maicas,24 de junio,San Juan
44143000000,Manzanera,17 de abril,
44143000000,Manzanera,13 de octubre,
44144000000,Martín del Río,5 de enero,
44144000000,Martín del Río,14 de agosto,
44145000000,Mas de las Matas,25 de agosto,
44145000000,Mas de las Matas,28 de agosto,
44147000000,Mazaleón,17 de enero,San Antonio
44147000000,Mazaleón,15 de mayo,San Isidro
44148000000,Mezquita de Jarque,4 de agosto,
44148000000,Mezquita de Jarque,10 de agosto,
44149000000,Mirambel,17 de abril,
44149000000,Mirambel,13 de octubre,
44151000000,Molinos,17 de febrero,
44151000000,Molinos,4 de agosto,
44152000000,Monforte de Moyuela,3 de febrero,
44152000000,Monforte de Moyuela,18 de diciem,
44153000000,Monreal del Campo,21 de agosto,
44153000000,Monreal del Campo,22 de agosto,
44154000000,Monroyo,17 de abril,
44154000000,Monroyo,16 de agosto,
44155000000,Montalbán,5 de junio,
44155000000,Montalbán,11 de sept,
44158000000,Mora de Rubielos,28 de septiembre,
44158000000,Mora de Rubielos,29 de septiembre,
44160000000,Mosqueruela,28 de abril,
44160000000,Mosqueruela,29 de mayo,
44161000000,Muniesa,15 de mayo,San Isidro
44161000000,Muniesa,10 de agosto,San Lorenzo
44163000000,Noguera de Albarracín,20 de enero,San Sebastián
44163000000,Noguera de Albarracín,29 de septiembre,San Miguel
44164000000,Nogueras,6 de mayo,
44164000000,Nogueras,13 de diciembre,Santa Lucía
44165000000,Nogueruelas,3 de febrero,
44165000000,Nogueruelas,3 de mayo,
44169000000,Ojos Negros,17 de agosto,
44169000000,Ojos Negros,18 de agosto,
44171000000,Olba,14 de septiembre,Santo Cristo
44171000000,Olba,25 de noviembre,Santa Catalina
44172000000,Oliete,17 de abril,
44172000000,Oliete,15 de septiembre,
44173000000,Olmos (Los),3 de agosto,
44173000000,Olmos (Los),4 de agosto,
44174000000,Orihuela del Tremedal,13 de octubre,
44174000000,Orihuela del Tremedal,7 de diciembre,
44175000000,Orrios,21 de enero,
44175000000,Orrios,29 de julio,
44176000000,Palomar de Arroyos,17 de enero,San Antón
44176000000,Palomar de Arroyos,7 de agosto,San Salvador
44179000000,Peñarroya de Tastavins,20 de enero,San Sebastián
44179000000,Peñarroya de Tastavins,8 de septiem,Natividad de Nuestra Señora
44181000000,Peralejos,14 de enero,
44181000000,Peralejos,24 de agosto,
44182000000,Perales del Alfambra,3 de febrero,San Blas
44182000000,Perales del Alfambra,15 de mayo,San Isidro
44183000000,Pitarque,6 de octubre,
44183000000,Pitarque,9 de octubre,
44185000000,Pobo (El),3 de marzo,
44185000000,Pobo (El),18 de abril,
44189000000,Pozondón,31 de julio,
44189000000,Pozondón,25 de noviembre,
