Código INE:,Localidad:,Fecha:,Festividad:
22001000000,Abiego,20 de enero,
22001000000,Abiego,14 de agosto,
22001000200,Alberuela de la Liena,4 de agosto,
22001000200,Alberuela de la Liena,7 de diciembre,
22002000000,Abizanda,12 de enero,
22002000000,Abizanda,9 de mayo,
22003000000,Adahuesca,26 de julio,
22003000000,Adahuesca,25 de agosto,
22004000000,Agüero,3 de febrero,San Blas
22004000000,Agüero,16 de agosto,San Roque
22907000000,Aínsa-Sobrarbe,20 de enero,
22907000000,Aínsa-Sobrarbe,14 de septiembre,
22006000000,Aísa,14 de agosto,
22006000000,Aísa,16 de agosto,
22007000000,Albalate de Cinca,29 de septiembre,
22007000000,Albalate de Cinca,10 de noviembre,
22008000000,Albalatillo,15 de mayo,San Isidro
22008000000,Albalatillo,20 de julio,Santa Margarita
22009000000,Albelda,15 de mayo,
22009000000,Albelda,16 de agosto,
22011000000,Albero Alto,25 de agosto,
22011000000,Albero Alto,8 de septiembre,
22012000000,Albero Bajo,8 de mayo,
22012000000,Albero Bajo,1 de septiembre,
22013000000,Alberuela de Tubo,14 de agosto,
22013000000,Alberuela de Tubo,27 de diciembre,
,Sodeto,15 de mayo,
,Sodeto,29 de septiembre,
22014000000,Alcalá de Gurrea,8 de mayo,
22014000000,Alcalá de Gurrea,24 de agosto,
22015000000,Alcalá del Obispo,3 de junio,
22015000000,Alcalá del Obispo,29 de septiembre,
22015000200,Fañanás,28 de agosto,
22015000200,Fañanás,26 de diciembre,
22015000300,Ola,3 de junio,
22015000300,Ola,14 de septiembre,
22015000400,Pueyo de Fañanás,29 de abril,
22015000400,Pueyo de Fañanás,14 de octubre,
22016000000,Alcampell,15 de mayo,San Isidro
22016000000,Alcampell,31 de agosto,San Ramón
22017000000,Alcolea de Cinca,14 de septiembre,
22017000000,Alcolea de Cinca,15 de septiembre,
22018000000,Alcubierre,17 de abril,
22018000000,Alcubierre,26 de julio,
22019000000,Alerre,20 de enero,
22019000000,Alerre,25 de julio,
22020000000,Alfántega,17 de abril,Día de la Alegría
22020000000,Alfántega,22 de julio,Santa María Magdalena
22021000000,Almudévar,15 de mayo,San Isidro
22021000000,Almudévar,8 de septiembre,Día de la Virgen
22021000200,Artasona del Llano,13 de junio,San Antonio
22021000300,San Jorge,22 de abril,San Jorge
22021000400,Valsalada,23 de septiembre,San Lino
22022000000,Almunia de San Juan,20 de enero,San Sebastián
22022000000,Almunia de San Juan,17 de abril,Lunes de Pascua
22023000000,Almuniente,17 de abril,
22023000000,Almuniente,28 de agosto,
22023000200,Frula,22 de mayo,
22023000200,Frula,13 de octubre,
22024000000,Alquézar,17 de enero ,
22024000000,Alquézar,14 de agosto,
22024000200,Radiquero,20 de enero,
22024000200,Radiquero,16 de agosto,
22025000000,Altorricón,3 de febrero,San Blas
22025000000,Altorricón,24 de agosto,San Bartolomé
22027000000,Angüés,2 de febrero,
22027000000,Angüés,2 de octubre,
22028000000,Ansó,20 de enero,
22028000000,Ansó,21 de septiembre,
22029000000,Antillón,28 de abril,Virgen del Pueyo
22029000000,Antillón,8 de septiembre,La Natividad
,Aragües del Puerto,4 de agosto,Virgen de las Nieves
,Aragües del Puerto,9 de octubre,Virgen del Rosario
22035000000,Arén,23 de mayo,
22035000000,Arén,7 de diciembre,
22036000000,Argavieso,8 de septiembre,Natividad de Nuestra Señora
22036000000,Argavieso,4 de diciembre,Santa Bárbara
22037000000,Arguis,24 de julio,Santa María Magdalena
