Código INE:,Localidad:,Fecha:,Festividad:
50078000000,Castiliscar,15/05/2017,San Isidro
,Cervera de la Cañada,23/09/2017,
,Cervera de la Cañada,09/05/2017,
50080000000,Cerveruela,29/07/2017,
50080000000,Cerveruela,30/07/2017,
50081000000,Cetina,19/05/2017,San Juan Lorenzo
50081000000,Cetina,19/10/2017,Virgen de Atocha
,Chiprana,03/02/2017,San Blas
,Chiprana,16/08/2017,San Roque
50093000000,Chodes,08/05/2017,
50093000000,Chodes,29/09/2017,
,Cimballa,,
,Cimballa,,
50083000000,Cinco Olivas,02/02/2017,Candelaria
50083000000,Cinco Olivas,03/02/2017,San Blas
50084000000,Clarés de Ribota,23/08/2017,Santo Cristo del Consuelo
50084000000,Clarés de Ribota,04/12/2017,Santa Bárbara
50085000000,Codo,15/05/2017,
50085000000,Codo,21/08/2017,
50086000000,Codos,03/02/2017,San Blas
50086000000,Codos,04/09/2017,Virgen del Mar
,Contamina,,
,Contamina,,
50088000000,Cosuenda,11/06/2017,
50088000000,Cosuenda,24/08/2017,
50089000000,Cuarte de Huerva,06/03/2017,
50089000000,Cuarte de Huerva,26/07/2017,
50090000000,Cubel,20/03/2017,San José
50090000000,Cubel,15/05/2017,San Isidro
50091000000,Cuerlas (Las),20/01/2017,
50091000000,Cuerlas (Las),26/06/2017,
50094000000,Daroca,07/03/2017,Santo Tomás de Aquino
50094000000,Daroca,15/06/2017,Corpus Christi
50095000000,Ejea de los Caballeros,14/01/2017,Voto a la Purisima
50095000000,Ejea de los Caballeros,24/06/2017,San Juan Bautista
50096000000,Embid de Ariza,,
50096000000,Embid de Ariza,,
50098000000,Encinacorba,26/05/2017,Festividad de mayo
50098000000,Encinacorba,04/08/2017,La Virgen del Mar
50099000000,Épila,05/06/2017,Ntra. Sra. De Rodanas
50099000000,Épila,18/09/2017,San Frontonio
50100000000,Erla,20/01/2017,San Sebastián
50100000000,Erla,09/05/2017,San Gregorio
50101000000,Escatrón,06/02/2017,
50101000000,Escatrón,16/08/2017,
,Fabara,17/04/2017,
,Fabara,15/05/2017,
50104000000,Farlete,15/05/2017,
50104000000,Farlete,08/09/2017,
50105000000,Fayón,20/01/2017,San Sebastián
50105000000,Fayón,29/09/2017,San Miguel
50106000000,Fayos (Los),21/03/2017,
50106000000,Fayos (Los),10/07/2017,
50107000000,Figueruelas,,
50107000000,Figueruelas,,
50108000000,Fombuena,,
50108000000,Fombuena,,
50109000000,Frago (El),17/04/2017,
50109000000,Frago (El),14/09/2017,
,Frasno (El),,
,Frasno (El),,
50111000000,Fréscano,13/10/2017,Virgen del Pilar
50111000000,Fréscano,14/08/2017,Asunción de la Virgen
,Fuencalderas,29/09/2017,San Miguel
,Fuencalderas,19/12/2017,Ntra. Sra de la Esperanza
50113000000,Fuendejalón,24/05/2017,Ntra. Sra. del Castillo
50113000000,Fuendejalón,08/09/2017,La llega de la Virgen
50114000000,Fuendetodos,30/03/2017,Aniversario nacimiento Francisco de Goya
50114000000,Fuendetodos,24/08/2017,San Bartolomé
50115000000,Fuentes de Ebro,15/05/2017,San Isidro
50115000000,Fuentes de Ebro,29/09/2017,San Miguel
50116000000,Fuentes de Jiloca,,
50116000000,Fuentes de Jiloca,,
50117000000,Gallocanta,20/01/2017,
50117000000,Gallocanta,21/04/2017,
50118000000,Gallur,13/06/2017,
50118000000,Gallur,29/06/2017,
50119000000,Gelsa,28/04/2017,San Pedro Mártir de Verona
50119000000,Gelsa,08/09/2017,Ntra. Sra. del Buen Suceso
,Godojos,,
,Godojos,,
,Gotor,,
,Gotor,,
50122000000,Grisel,16/08/2017,
50122000000,Grisel,23/09/2017,
50123000000,Grisén,29/09/2017,San Miguel
50123000000,Grisén,11/11/2017,San Martín
50123000000,Herrera de los Navarros,03/02/2017,San Blas
50124000000,Herrera de los Navarros,08/09/2017,La Virgen
50125000000,Ibdes,16/08/2017,San Roque
50125000000,Ibdes,18/08/2017,Virgen de San Daniel
